,Location ID,Place ID,Governorate,District,Location Name,Arabic Name,Latitude,Longitude,Families,Individuals,Anbar,Babylon,Baghdad,Basrah,Dahuk,Diyala,Erbil,Kerbala,Kirkuk,Missan,Muthanna,Najaf,Ninewa,Qadissiya,Salahal Din,Sulaymaniyah,Thi Qar,Wassit,Camp,Hostfamilies,Hotel Motel,Informalsettlements,Own Property,Other,Informalsettlements.1,Religiousbuilding,Rented pre Apr 2019,Religiousbuilding.1,Rented Habitable,Rented pre Apr 2019.1,Rented Uninhabitable,Rented Habitable.1,Schoolbuilding,Rented Uninhabitable.1,Unfinishedbuilding,Schoolbuilding.1,Unknownsheltertype,Unfinishedbuilding.1,Pre June14 Period of displacement,Unknownsheltertype.1,June July14 Period of displacement,Pre June14 Period of displacement.1,August14 Period of displacement,June July14 Period of displacement.1,Post September 14 Period of displacement,August14 Period of displacement.1,Post April15 Period of displacement,Post September 14 Period of displacement.1,Post March 16 Period of displacement,Post April15 Period of displacement.1,Post 17 October 16 Period of displacement,Post March 16 Period of displacement.1,July 17 Period of displacement,Post 17 October 16 Period of displacement.1,July 17 Period of displacement.1,Jan19,date
2350,2806018.0,20680.0,Salah al-Din,Samarra,Hay Al Hady 101,حي الهادي(غربية)محلة 101,34.2024712684,43.8773283083,236.0,1416.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,147.0,3.0,41.0,147.0,45.0,41.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jun 04, 2015"
2351,2806019.0,22903.0,Salah al-Din,Samarra,Hay Al imam-103,حي الامام محلة 103,34.1956538055,43.871750487,79.0,474.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.0,2.0,0.0,30.0,47.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jun 04, 2015"
2352,2806020.0,24122.0,Salah al-Din,Samarra,Hay Al Mulmeen-109,حي المعلمين-109,34.1965586739,43.8878161646,76.0,456.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,2.0,0.0,53.0,2.0,21.0,53.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jun 04, 2015"
2353,2806021.0,21724.0,Salah al-Din,Samarra,Hay Al Mutasim-mahala 105,محلة 105,34.1942101484,43.8782435283,134.0,804.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,53.0,0.0,43.0,53.0,38.0,43.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jun 04, 2015"
2354,2806022.0,22473.0,Salah al-Din,Samarra,Hay Al Muthanna-Mahalla 312,حي المثنى-محلة 312,34.1932340758,43.9168047253,960.0,5760.0,14.0,0.0,13.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,920.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,761.0,0.0,0.0,761.0,0.0,0.0,93.0,0.0,42.0,93.0,0.0,42.0,14.0,0.0,429.0,14.0,181.0,429.0,336.0,181.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jun 04, 2015"
2355,2806023.0,22810.0,Salah al-Din,Samarra,Hay Al Rasheed-Mahalla 326,حي الرشيد م(22-جبيرية)محلة 326,34.1881947918,43.9047412388,60.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,4.0,0.0,25.0,0.0,0.0,13.0,0.0,12.0,13.0,0.0,12.0,0.0,0.0,0.0,0.0,28.0,0.0,32.0,28.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jun 04, 2015"
2356,2806024.0,21725.0,Salah al-Din,Samarra,Hay Al Wathiq-Mahala 314,حي الواثق(22-جبيرية)محلة 314,34.1860535508,43.894180879,864.0,5184.0,15.0,0.0,15.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,821.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,0.0,0.0,632.0,0.0,0.0,0.0,0.0,213.0,0.0,0.0,213.0,15.0,0.0,489.0,15.0,150.0,489.0,210.0,150.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jun 04, 2015"
2357,2806025.0,21594.0,Salah al-Din,Samarra,Hay Al Zuhoor(Al qala 4)Mahala 202,حي الزهور(4-القلعة)محلة 202,34.179837741,43.8551255688,65.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,2.0,0.0,23.0,0.0,0.0,5.0,0.0,18.0,5.0,0.0,18.0,0.0,0.0,0.0,0.0,35.0,0.0,30.0,35.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jun 04, 2015"
2358,2806026.0,25517.0,Salah al-Din,Samarra,Hay Albu Rahman,حي البو رحمن,34.1945575364,43.8730937708,48.0,288.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,22.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jun 04, 2015"
2359,2806027.0,20569.0,Salah al-Din,Samarra,Hay Al-Khathraa Mahala 322,حي الخضراء م(25-عرموشية)محلة 322,34.1977385106,43.9074379485,320.0,1920.0,21.0,0.0,18.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,233.0,0.0,0.0,233.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,51.0,21.0,0.0,108.0,21.0,32.0,108.0,159.0,32.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Jun 04, 2015"
